,Medicine
0,azithral
1,ascoril
2,allegra
3,avil
4,allegra-m
5,amoxyclav
6,azee
7,atarax
8,aciloc
9,alex
10,anovate
11,ambrodil-s
12,arkamin
13,avomine
14,asthakind-dx
15,albendazole
16,asthalin
17,alprax
18,altraday
19,ativan
20,almox
21,aldactone
22,amlokind-at
23,axcer
24,alkasol
25,aldigesic
26,alfoo
27,arachitol
28,anafortan
29,ab
30,althrocin
31,azicip
32,aldigesic-sp
33,amoxycillin
34,asthakind
35,acemiz
36,aceclo
37,anobliss
38,atorva
39,asthakind-ls
40,azmarda
41,amixide-h
42,ab-flo-n
43,af
44,amlokind
45,amlong
46,akt
47,amitone
48,aulin
49,amikacin
50,ambrodil-lx
51,aquasol
52,azoran
53,aztor
54,azax
55,anxit
56,acitrom
57,angispan
58,azeflo
59,akurit
60,aerocort
61,adaferin
62,acivir
63,aptimust
64,ambrodil
65,acogut
66,amlip
67,antid
68,alerid
69,ampoxin
70,acenac-p
71,ab-flo
72,amifru
73,avamys
74,aziderm
75,ace
76,ano
77,admenta
78,aceclo-mr
79,alerid-d
80,acemiz-s
81,allercet-dc
82,aztolet
83,ambrodil-plus
84,amlopres-at
85,ajaduo
86,avanair
87,acton-or
88,aquazide
89,alaspan
90,azikem
91,aldosmin
92,amlovas
93,amaryl
94,amantrel
95,acenac-mr
96,ambrolite-s
97,abiways
98,ampilox
99,adrenaline
100,acuvin
101,air-m
102,atorlip-f
103,advent
104,amlodac
105,alupent
106,asthakind-p
107,addnok
108,andre
109,antiflu
110,alerfix
111,alex-l
112,atropine
113,aquaviron
114,aciclovir
115,alkof
116,atm
117,assurans
118,ambrolite
119,actrapid
120,aten
121,alzolam
122,a
123,ambulax
124,amlovas-at
125,alfusin
126,aziwok
127,alkacitral
128,almox-cv
129,ace-proxyvon
130,aprezo
131,apidra
132,amlosafe
133,andial
134,acenext
135,acnesol
136,asomex
137,angiplat
138,alsita
139,axogurd-sr
140,azoflox
141,azulix
142,azibact
143,amlopres
144,actapro
145,atorfit
146,amtas
147,alrgee
148,arip
149,alivher
150,apdrops
151,amrox-ls
152,altonil
153,allercet
154,atorlip
155,amox
156,add
157,alkacip
158,arbitel-trio
159,amrolstar
160,adalene
161,apigat
162,aeromont-b
163,abevia-n
164,acamprol
165,ancool
166,atormac
167,amnurite
168,atonide
169,amlong-a
170,af-k
171,abd
172,alburel
173,anacin
174,azithro
175,azimax
176,amlosafe-at
177,air
178,adilip
179,amlogard
180,alergin
181,azr
182,angicam-beta
183,amicobal
184,actibile
185,algesia
186,airz
187,anaspas
188,ascabiol
189,addwize
190,allercet-m
191,augpen
192,atocor
193,atchol-f
194,alensol-d
195,acera-d
196,aerodil
197,aculip
198,amlopin
199,arimidex
200,alzil-m
201,acuvert
202,alciflox
203,alphadol
204,anabel
205,aricep
206,azopt
207,amitop
208,alcipro
209,alkaliser
210,angiwell
211,anaflam
212,alzil
213,amlo
214,antacid
215,apresol
216,atchol
217,amlong-h
218,airz-ff
219,arflur
220,amixide
221,arpizol
222,ascodex
223,aquasurge
224,azivent
225,adtrol
226,aqualube
227,antisnake
228,acrotac
229,azathioprine
230,alphagan
231,acutret
232,acnedap
233,advanced
234,amitryn
235,amtas-at
236,accentrix
237,aztogold
238,addna
239,amtas-m
240,akilos-p
241,avas
242,actilyse
243,acceclowoc-sp
244,amodep
245,acular
246,anxipan
247,abevia
248,alcoliv
249,anosum
250,amlovas-m
251,alkamax
252,apetamin
253,aceflam
254,ascovent
255,acotrust
256,acupat
257,arcolane
258,amyclox-lb
259,alamin
260,aquim
261,arbitel-am
262,aprecap
263,amicline
264,acimol
265,acenac
266,aginal-at
267,allrite
268,alcet
269,aplazar
270,amicon
271,ab2
272,afoglip
273,amlozaar
274,abel
275,acolate
276,altacef
277,ambistryn-s
278,ambulax-et
279,acceclowoc-p
280,alsita-m
281,axogurd
282,aclind
283,anxiset
284,atonide-h
285,aldonil
286,anticold
287,alcros
288,azibest
289,amoxy
290,a-ret
291,adenosine
292,amlokind-h
293,amlopin-m
294,alevo
295,anafortan-mf
296,amitriptyline
297,aqsusten
298,amicet
299,amrox
300,anawin
301,adaple-c
302,aravon
303,akilos-sp
304,amlozaar-h
305,alight
306,amoxclav
307,amplinak
308,aplevant
309,ambrodil-xp
310,arvast
311,atharv
312,ata
313,antidep
314,artificial
315,anfoe
316,acnovate
317,avanext
318,anti-thyrox
319,akair
320,astymin-sn
321,asprito
322,asomex-at
323,anabel-ct
324,acidose
325,ab-next
326,aqua
327,arflur-p
328,asiclopam
329,alcarex
330,amantex
331,adapen
332,almefkem
333,amcard
334,avene
335,albutamol
336,atchol-asp
337,arbitel-h
338,abiways-m
339,astymin-3
340,armotraz
341,abixim
342,arbitel-mt
343,amiject
344,aten-d
345,azipro
346,addphos
347,acnetor
348,angicam
349,amitax
350,alzero
351,aloja
352,arbitel-ct
353,anthocyn-tx
354,actoid
355,avastin
356,acitrin
357,antiblue
358,arpimune
359,ampiclox
360,analiv
361,actifed
362,alendrate
363,amrosys
364,aminophylline
365,ambrican
366,arzep
367,angizem
368,alcoban
369,arvast-a
370,amlopin-at
371,azilab
372,amnuring
373,ablung
374,acefen
375,aceclopar
376,acegaba
377,antoxid
378,agoprex
379,alnitro
380,alkem
381,amtris
382,ambizyme
383,acegrow
384,alerfri
385,azenam
386,aceret
387,alkarate
388,anset
389,acecloren
390,atraxin
391,amlong-tl
392,apraize
393,aapirin
394,agna
395,alkashot
396,acimol-sp
397,aceclowal
398,airtec
399,armod
400,azovas
401,asomex-tm
402,aloatm
403,acekay
404,amoxible-cl
405,ageless
406,agycin
407,aminowel
408,asklerol
409,anti
410,aceloflam
411,actemra
412,alconol
413,acepar
414,ampanel
415,alfakit
416,amrofast
417,azithral-xl
418,azi
419,alphadopa
420,abz
421,allerkast
422,aerodil-ls
423,absolut
424,azikind
425,avoprost
426,arbitel-av
427,androgel
428,atocor-cv
429,addkay
430,aggribloc
431,acotibien
432,amoxil
433,azitus
434,atorlip-asp
435,acutrol
436,almefkem-d
437,auxerg
438,amisant
439,allercet-l
440,arbitel
441,ara
442,aginal
443,ad
444,astin
445,arifine
446,apilysin
447,acetik-hc
448,aricep-m
449,alorti
450,app.up
451,anxipam
452,abmac
453,anin
454,angistat
455,anozest
456,alrista
457,ascapil
458,addex
459,acetik
460,aisa
461,airz-f
462,anleo-dsr
463,aladrine
464,azarga
465,anomed
466,ampoxin-cv
467,azilide
468,app
469,abirapro
470,androtas
471,atorec-asp
472,amitryn-c
473,adefresh
474,abphylin
475,adriamycin
476,augxetil
477,adiff
478,augplat
479,actiheal-d
480,adalipca
481,alfa
482,atracurium
483,ambropil
484,andriol
485,analgin
486,accuzon
487,atrest
488,amicin
489,alcinac
490,arigaba
491,amlomed
492,azusa
493,azomycin
494,abortab
495,aldryl
496,anaproct
497,attentrol
498,amace
499,aciloc-s
500,aziwok-xl
501,aim7
502,amortas
503,aldep
504,at
505,anxol
506,aricef
507,amipride
508,altiva
509,aclon-sp
510,allenza
511,amrolmac
512,atrovas
513,alpostin
514,alka-ph
515,afogatran
516,auradex
517,aggramed
518,acetamide
519,agmacet
520,amloz
521,aerodil-dx
522,amrfy
523,amrobrut
524,alides
525,alastin
526,amclaid
527,amiline
528,arophyll
529,alcaft
530,asar
531,alkazip
532,arvast-cf
533,axinerve-p
534,adiflam
535,asomex-d
536,azro
537,answell
538,azilup
539,aceron
540,aldigesic-rab
541,action
542,adilin
543,abhayrab-pf
544,alfalog
545,azifast
546,amlovas-l
547,atorsave
548,amfy
549,amit
550,alto's
551,amorfine
552,azapure
553,akme-entoquol
554,atherochek
555,axepta
556,alconil
557,adfrar
558,ambrox
559,azunate
560,accardi
561,acenac-sr
562,azirin
563,atorec
564,alkanil
565,abvida
566,asa
567,acnetoin
568,aziford
569,anglit
570,amdepin
571,ab-resp
572,amiodar
573,amazeo
574,acocontin
575,alphacept
576,altime
577,asolt-at
578,acocare
579,advastat
580,arzu
581,acnelak-clz
582,alenix
583,atorbest
584,amide
585,aleva
586,ace-th
587,anasure
588,alcof
589,admol
590,aceclomax-sp
591,avapar
592,amitril
593,azintas
594,amt
595,adgaba
596,anaero
597,aplev
598,aphyren-n
599,apigy
600,accutaz
601,atrodex-c
602,altoran
603,alpalide
604,acnewar
605,ace-sp
606,alday
607,amitrip
608,anxozap
609,ambisome
610,ambrodil-d
611,acemyoset
612,amirid
613,azenate
614,acendol-r
615,alkepin
616,abpress
617,amucoe
618,augmexin
619,amluck
620,aceclodol
621,afderm-mn
622,avacard-at
623,aldo
624,azadine
625,aztric
626,acton
627,aquagest
628,atazis
629,azivent-xl
630,aciban
631,altam
632,alphacept-d
633,adilan
634,asomex-lt
635,adcef
636,arorab
637,aceclomax-p
638,anzilum
639,argihope
640,amodep-tmh
641,aziwin
642,acedol
643,amchek
644,asert
645,aclopar
646,azobril
647,acecare
648,ampilox-lb
649,alerflo
650,arbitel-amh
651,amiodon
652,alburel-t
653,actorise
654,advan-thf
655,alizap
656,austril
657,assault
658,aretha
659,amigaba
660,astharid
661,anadrol
662,aerotrop-f
663,azileb
664,aptiquik
665,acp
666,aloja-m
667,aditop
668,abvida-m
669,azac
670,anomex
671,apexitra
672,alcon
673,ambulax-fm
674,acera-l
675,alcecost
676,acera
677,apitone
678,amclawyn
679,alkamed
680,amchek-at
681,agra
682,acerest
683,aquaray-forte
684,acelopara
685,alkorina
686,apixator
687,auxisoda-ec
688,aldostix
689,arixtra
690,amlor
691,azrolid
692,androanagen
693,alinol
694,acuclav
695,axalin
696,arkapres
697,amiwel
698,acibro
699,actinin
700,anamol
701,azy
702,axinerve-np
703,angizaar-h
704,amclox
705,allerzine
706,alsartan-h
707,anytime
708,angicam-m
709,acipsor
710,azep
711,asunra
712,alka
713,acefile
714,allerblis
715,agmamol
716,averzine
717,amintoz
718,azerva
719,aps
720,azitro
721,act
722,apxenta
723,almotan
724,atropin
725,atrolet
726,actamase
727,algest
728,aldopam
729,amlosafe-ls
730,ampilin
731,amfocin
732,acetyl
733,angizaar
734,alkalith
735,algin
736,auxen
737,apetox
738,adoxy
739,androsure
740,artamin
741,amigold
742,acecare-plus
743,aspisol
744,arflur-mr
745,actv
746,ampho
747,alene
748,apriglim-mv
749,amtas-e
750,arreno
751,anafranil
752,acetal
753,acnay
754,atz
755,abrozac
756,anadom
757,asthavent
758,amoron
759,adova
760,alakast
761,azuvas
762,atp
763,azitreat
764,adine-plus
765,adoc
766,atorin
767,augulab
768,accunac
769,amlace
770,azento
771,attera
772,aziagma
773,abmont
774,adrenor
775,alkapen
776,altax-o
777,aceton-p
778,allerone-m
779,alfugress-d
780,azimac
781,anneal
782,asozen
783,arostat
784,azom
785,aquanac
786,avessa
787,amika
788,allerduo
789,asar-ct
790,atorec-f
791,azuma
792,avort
793,azuvas-f
794,acnegel
795,aquaray
796,aminoven
797,akilos
798,alert
799,almont
800,abendol
801,alprasafe
802,aplex
803,atroped
804,adnurve
805,adneon
806,alerab-dsr
807,algina
808,akme
809,airwin-bf
810,alcatop
811,altriz-m
812,apale
813,actiful
814,ambrohist
815,anna
816,amlibon
817,almizol
818,aquadol
819,adlene
820,amlenox
821,alimnator
822,anafast
823,actin
824,allerfree
825,ace-ks
826,aloclin
827,acenomac
828,a-cn
829,anort
830,antrum-dsr
831,actiheal
832,aclair
833,acifix
834,atecard
835,arden
836,acendol-p
837,adacin
838,acnilite
839,acer
840,alflox
841,acneclin
842,astha
843,avva
844,arava
845,arthocerin-g
846,amortive
847,arorab-dsr
848,angised
849,antegy
850,acnex
851,argifizz
852,a-heal
853,aspen
854,aurosol
855,amilab
856,atr-f
857,aclo-p
858,am
859,amlong-trio
860,aceross-p
861,anprox-mr
862,asmasafe-n
863,anoscha
864,asozen-plus
865,aceday
866,aromox-cv
867,angidine
868,aclopen
869,atorfen
870,aimet
871,alprocontin
872,adapure
873,amphonex
874,amonext
875,amizen
876,aceden-p
877,azinix
878,alpracon
879,alsera
880,azivista
881,ajapride
882,azel
883,allergin
884,applevit
885,asirest-sp
886,appe
887,amcold
888,aquamet
889,akem
890,ambilon
891,azpil
892,acnovate-trio
893,a-phyl
894,acmon-dm
895,aqueous
896,ap
897,albium
898,adrelin
899,azidoq
900,acticort
901,ambival
902,aroxyl
903,aceta
904,acucort
905,almolet
906,aclonac
907,algrot
908,alsartan
909,aline
910,asthamon-l
911,augmed
912,ananda
913,abdospas
914,alerchek
915,amity
916,axunil
917,androfil
918,aspin
919,anprox
920,apticyp
921,asporelix
922,arcekay
923,alsar
924,azin
925,afenak
926,ac
927,ambrosol
928,adabor
929,aprizol
930,aceclodus
931,allerde
932,aziclass
933,amitryptyline
934,apotab
935,adbrom
936,arthopan
937,altispor
938,aeknil
939,ache
940,avomira
941,akynzeo
942,aceday-forte
943,auto
944,ambrex
945,alkaline
946,aromita
947,amoclav
948,abitol
949,acenova
950,ambolev
951,allercool
952,amikamac
953,actigaba
954,acneline
955,adcapone
956,artilage
957,azitough
958,azicare
959,ambrocof
960,alpraquil
961,actidol-dp
962,aftron
963,adaple
964,ameto-gp
965,alcoran
966,atova
967,apetiz
968,aneket
969,azithioprine
970,alburel-os
971,avas-ez
972,atlura
973,apc
974,atm-a
975,albucid
976,afm
977,azysafe
978,acusalt
979,addwet
980,aerotrop
981,aceclo-t4
982,azacort
983,acewok
984,avemome
985,antic
986,alocet-m
987,albumin
988,amis
989,alkastar
990,agmaderm
991,acnechio-m
992,active
993,amlox
994,apitat
995,azeetop
996,asacus
997,alexofer-xt
998,acyclosure
999,a2
1000,admont-lc
1001,auxisoda-ds
1002,amrolfin
1003,avinova
1004,alkazar
1005,assidol
1006,azole
1007,alerkim
1008,aclozest
1009,arnold
1010,axone
1011,atrovin
1012,aminogen
1013,acent
1014,atocare
1015,amlocard
1016,altram
1017,azirox
1018,albudac
1019,acentio
1020,alfagaba
1021,atarise
1022,ambroset-ls
1023,amoxyplus-cv
1024,amitin
1025,auroprost-rt
1026,acv-lb
1027,actide
1028,alrax
1029,aristogyl-f
1030,actiglipt
1031,ark-th4
1032,alorti-m
1033,acemol
1034,altoran-ch
1035,alonac
1036,amizep
1037,ambcet
1038,azilac
1039,adlumab
1040,albical
1041,addclav
1042,aqualina
1043,anas
1044,alparazole
1045,amvasc
1046,avonza
1047,abel-ct
1048,actacrez
1049,akostol
1050,acosat
1051,axifur
1052,alfuzosin
1053,azukon-m
1054,astagon
1055,alatro
1056,anxiset-e
1057,amenor
1058,abrophyll-dm
1059,amplus
1060,allerpat
1061,axegliptin
1062,adiza
1063,aclopride
1064,actame
1065,acnac-sp
1066,acbro
1067,albert
1068,adesure
1069,alergard-m
1070,acid
1071,antiderm
1072,axim
1073,allerone
1074,anxi
1075,ampause
1076,alpro
1077,atosky
1078,arinac
1079,azirest
1080,azecool
1081,alten
1082,amphotret
1083,awarene
1084,amilift
1085,alendate
1086,akostol-od
1087,ariday
1088,amiseven
1089,adgaba-nt
1090,acepep
1091,amoreal
1092,alpicno
1093,amrocan
1094,artether
1095,azilin
1096,abamune
1097,aldaz
1098,amnac
1099,acigene
1100,amol
1101,acnerid
1102,ateros
1103,altraflam-p
1104,acemol-sp
1105,aclozen
1106,acklogal-sp
1107,alocet
1108,acidart
1109,airtab-fx
1110,aclasta
1111,abmetop
1112,abiratas
1113,alerdain
1114,aritop
1115,alex+
1116,ariprazole
1117,alfunol
1118,angel
1119,aishmox
1120,al
1121,apitop
1122,adacel
1123,atenex
1124,advog
1125,acenal
1126,aplet
1127,ampitrust
1128,andol
1129,amlodepin
1130,addtrex
1131,azito
1132,ancer
1133,arthraspaz
1134,atryp
1135,azonate
1136,alusil
1137,azjoy
1138,azivo
1139,alltop
1140,asta-4
1141,agenon
1142,alviroz
1143,aceflex
1144,ansuper-plus
1145,advacan
1146,alsolve-dm
1147,atorastin
1148,alora
1149,alfatam-d
1150,adol
1151,acebro
1152,acemax
1153,amolife
1154,acnezac
1155,adapero
1156,acvaketo
1157,aceclogesic
1158,adenocor
1159,acceclomax
1160,anolet
1161,acelo
1162,augumed
1163,arophyll-sr
1164,actinac
1165,axonrich
1166,apnicid
1167,acuzith
1168,anazol
1169,alcid
1170,alernyl
1171,apriglim-m1
1172,adiuretin
1173,advagraf
1174,anca-v
1175,actonel
1176,azim
1177,ark
1178,aroclav-lb
1179,amcard-lp
1180,azitex
1181,aptivin
1182,anglocet
1183,azifine
1184,avonir
1185,azelast
1186,atv
1187,aclolab-sp
1188,apivas
1189,actreat
1190,aztel
1191,alertac
1192,autogati
1193,acefenac
1194,axl
1195,altuss
1196,acartex
1197,azimed
1198,albumax
1199,aten-h
1200,amroltop
1201,agidol
1202,anxipose
1203,acecloran
1204,aus-q
1205,alprazone
1206,alsore
1207,alkamin
1208,azylaj
1209,aminosteril
1210,albenz
1211,asthagrip
1212,asrugen
1213,acinil-o
1214,aumento
1215,alnacet
1216,amitor
1217,acrimol
1218,azofit
1219,auxtil
1220,alfman
1221,afenac
1222,acip-plus
1223,alenix-m
1224,aksicef
1225,aphexine
1226,anetol
1227,adrim
1228,apeton
1229,aptirich
1230,alwiz
1231,azicold
1232,amdepin-at
1233,ampicillin
1234,accurate
1235,acicaine
1236,appet
1237,aptiwell
1238,acnegel-b
1239,alvonide
1240,aloderm-n
1241,adaler
1242,aceton-sp
1243,arotear
1244,adoclear
1245,amifru-s
1246,aaram
1247,aphyren
1248,anxil
1249,aceforce-sp
1250,actiliv
1251,atorvatin
1252,ancet
1253,aziron
1254,alporate
1255,azix
1256,adapnil
1257,alertus
1258,acilex
1259,alkatech
1260,apetizer
1261,avical
1262,aclolab-p
1263,afzeta
1264,actinsar
1265,alphadol-c
1266,arropan
1267,acne
1268,acupenem
1269,aplaz
1270,alto
1271,armist
1272,arumin
1273,acno
1274,astoclav
1275,ablife
1276,acutus
1277,augocare
1278,acenil
1279,aclof-th4
1280,ampisure
1281,asonac
1282,atozet
1283,acsolve
1284,accufine
1285,atro
1286,atheart
1287,alben
1288,a-3
1289,amoline
1290,alp
1291,aceclomac
1292,alba
1293,allcet
1294,acutus-d
1295,azinol
1296,aceclofast
1297,aramol
1298,apriglim-m
1299,antadict
1300,aspan-dsr
1301,adelphane
1302,acebrofon
1303,antrenyl
1304,azecne
1305,acesoft-sp
1306,adglim
1307,activa
1308,all
1309,am-exidil
1310,acnecure
1311,alkafresh
1312,atrovast
1313,alikast
1314,alocet-xl
1315,avillin
1316,anikast
1317,allermin
1318,alcort
1319,afineday
1320,alnase
1321,acipan
1322,auroflox
1323,akt-fd
1324,anoliv
1325,allerdest
1326,apretero
1327,ator
1328,aclofen
1329,atpark
1330,afitra
1331,alexcet
1332,airol
1333,antax
1334,atrosun
1335,asmita
1336,acstop
1337,all-stat
1338,angidil
1339,acecloliv
1340,azitop
1341,azildac
1342,afderm
1343,armril
1344,aceford
1345,aaramine
1346,advance
1347,arrow
1348,antibact
1349,acceclowoc
1350,alzin
1351,acloboot
1352,appiliv
1353,avigan
1354,alerex
1355,alerta
1356,actipar
1357,acnitin-mh
1358,acnac-p
1359,avacard
1360,amcrylate
1361,alvizine
1362,amphomul
1363,amenova
1364,acklofen
1365,atibon-k27
1366,adalirel
1367,adc
1368,antex
1369,alwin
1370,abvent
1371,avaxim
1372,ano-sp
1373,atorvakind
1374,amoxi
1375,admine
1376,acura
1377,antepar
1378,acicon
1379,acecloflam
1380,amore
1381,acecare-mr
1382,amoxybest
1383,akuflex
1384,azicure
1385,alona
1386,aerodyn-t
1387,audotic
1388,acebronk
1389,apristar
1390,airmont-l
1391,albekem
1392,arolson
1393,arsenox
1394,aziken
1395,astibet
1396,aldex
1397,anofer
1398,aclozest-p
1399,acesun
1400,axclopain-sp
1401,amlobet
1402,alfakim
1403,amiva
1404,acemed
1405,asacol
1406,adp
1407,abhay-tox
1408,age-p
1409,alpus
1410,arbitel-80
1411,andulfa
1412,aptsure
1413,analar
1414,afix
1415,alz
1416,actorab-d
1417,alde
1418,aceprime-sp
1419,afinitor
1420,asphyllin
1421,agemax-p
1422,aga
1423,avemime
1424,aroximat
1425,atack
1426,art
1427,ace-mr
1428,alkacit
1429,anurab
1430,aziom
1431,ashycloflam
1432,azil
1433,allerfin
1434,axis
1435,amypres
1436,antiworm
1437,amitar
1438,apetone
1439,alpred
1440,acuflam
1441,amizu
1442,aptiz
1443,activert
1444,atoxim
1445,amset
1446,aclovin-sp
1447,apigrow
1448,amypress
1449,austomentin
1450,amoxyvon
1451,asterab
1452,aziz
1453,azith
1454,adina
1455,acerac
1456,acderm
1457,aculife
1458,alzex
1459,augmin
1460,abnex
1461,amrizol-dsr
1462,axokine
1463,atornet
1464,amlod
1465,afs
1466,acetate
1467,alertac-a
1468,azita
1469,alfucare
1470,abolish
1471,adjoint
1472,actihair
1473,azicin
1474,aceros
1475,azidac
1476,artiflo
1477,acetamol
1478,amchek-z
1479,arirazo
1480,artacil
1481,aldase-d
1482,aztreo
1483,albid
1484,afen
1485,asp
1486,ampirok
1487,amipace
1488,amleod
1489,aurinorm
1490,azex
1491,alpha
1492,abhope
1493,apidine
1494,aspira
1495,alnacort
1496,apan
1497,auriase
1498,apgesic
1499,azcor
1500,azaprin
1501,amilip
1502,arophyll-m
1503,azure
1504,allergica
1505,alidil
1506,acdap
1507,aceezone
1508,amipox-h
1509,aclomet-xl
1510,antigrain
1511,appamide
1512,acebrofact
1513,azobat
1514,alfuflo
1515,aclodoc
1516,acnemute
1517,azital-lb
1518,algaba
1519,atorem
1520,azpar-sp
1521,aliclair
1522,acewin
1523,ambulex
1524,affocal-ct
1525,azidus
1526,azolet
1527,axn
1528,amoclave
1529,acecloder
1530,azid
1531,avert
1532,ablu
1533,alzam
1534,afasma-sr
1535,axonorm
1536,asmapax
1537,atrox
1538,amul
1539,anatrol
1540,albutas
1541,amitag
1542,anshicet
1543,allermed-m
1544,accunac-sp
1545,alcinac-p
1546,azfex
1547,atorstin
1548,acynac
1549,acetamol-sp
1550,aspirose
1551,adaqueen
1552,altipod
1553,adcyclo
1554,azilet
1555,airflow
1556,arofen
1557,acefast
1558,atenopress
1559,acebloc
1560,aflox
1561,ambril
1562,abnor
1563,alkadip
1564,almetfor
1565,alfence
1566,asozyme
1567,abfol
1568,acijen-sp
1569,alpramed
1570,aldol
1571,alervo
1572,accetiz
1573,aeovit-q10
1574,anate
1575,aponerv
1576,apriset
1577,acepain
1578,afanat
1579,alersin-total
1580,acip-mr
1581,alidox
1582,aceked-sp
1583,antagit
1584,acidcure
1585,algat
1586,alcure
1587,azolam
1588,alorex
1589,almocef
1590,amlopen
1591,azilura
1592,amijoy
1593,atrochlor
1594,aminodrip
1595,agmitra
1596,alfaren
1597,asomex-oh
1598,aztrone
1599,apipro
1600,amitreat
1601,avocort
1602,alenost
1603,aa
1604,arifix
1605,aquashine
1606,allernec-lc
1607,azt
1608,amidep
1609,albrim
1610,aquamide
1611,arcopan
1612,asta
1613,anavilda
1614,atrmin
1615,agufast-cv
1616,azo
1617,aclog-sp
1618,aclopas
1619,aziforce
1620,adzutus
1621,alercet
1622,aceclobest
1623,acerut
1624,angirex
1625,amtiva
1626,almokast
1627,alwax
1628,acidol
1629,azam
1630,artagen
1631,anxifly
1632,alock
1633,angiflam
1634,ambulax-hd
1635,abcobal
1636,aclo
1637,airmont
1638,aclonac-sp
1639,acneris-nt
1640,asvs
1641,axicef
1642,anace-sp
1643,ampine
1644,aprilia-d
1645,alphacin
1646,aceclan
1647,asarab-dsr
1648,anzipan-dsr
1649,acytine
1650,amlodac-h
1651,aritomycin
1652,acegesic
1653,adylin-pgn
1654,azilear
1655,acarcip
1656,alt-fm
1657,agical-sg
1658,askof-ls
1659,androz
1660,alfolate
1661,avanep
1662,acdof
1663,acecare-p
1664,albamine
1665,ahabir
1666,aricof-d
1667,alerlife-m
1668,acmacal
1669,arnac
1670,azicof
1671,alceff
1672,amlokem
1673,acezit-p
1674,alcinac-pg
1675,abituss
1676,atcor
1677,aroside
1678,ap-fast
1679,aroff
1680,acelera-sp
1681,altrox
1682,albocef
1683,azijet
1684,acidip
1685,atorica
1686,atril
1687,azarid
1688,acsent
1689,aziliz
1690,auffcef
1691,aristogyl
1692,arthocare
1693,aclotil
1694,azinet
1695,azincure
1696,atacurium
1697,aldecef
1698,amital
1699,abura
1700,almitak
1701,arimip
1702,allyzole-b
1703,alinfec
1704,acbc-n
1705,actizer
1706,alleviate
1707,acifact
1708,astodol-sp
1709,alnex
1710,anto
1711,alphaday
1712,ameto-g2
1713,acugesic
1714,audisol
1715,amolax
1716,aciven
1717,ambrovin
1718,aceglow
1719,advin
1720,akroz
1721,alpra
1722,adfovir
1723,ablif
1724,admoxy
1725,aprezine
1726,albefate
1727,adniva
1728,alercid
1729,arkocet
1730,alfasteril
1731,anxisure
1732,azispan
1733,af-ter
1734,axocilin
1735,abicet-m
1736,amoline-at
1737,albicet
1738,apimax
1739,amokav
1740,atoder
1741,amcet
1742,adraclor
1743,apel
1744,arpan
1745,anleo-d
1746,azukon
1747,amlode
1748,aminophylin
1749,azitec
1750,aclizac
1751,artisun
1752,anxiwill
1753,anxifree-p
1754,aztec
1755,aboros
1756,amodip-at
1757,amopress
1758,azicef-lb
1759,atovas
1760,azelac
1761,abituss-ls
1762,alpaz
1763,albendol
1764,aester-sp
1765,arocort
1766,aspa
1767,asprox-sp
1768,astawin
1769,and
1770,avonex
1771,ann
1772,arsufee
1773,alcaine
1774,allermet
1775,ace-coxib
1776,alketo
1777,aig
1778,aprazol
1779,apetite
1780,aldemox-lb
1781,artrodar
1782,askoff
1783,agro
1784,aurocort
1785,agonil
1786,axe
1787,aziter
1788,anidulan
1789,amalzol-dsr
1790,amocop
1791,aceliv-plus
1792,actamid
1793,asmaril
1794,albend
1795,aprenext
1796,anbid
1797,admark
1798,aprin
1799,amp-taj
1800,actowin
1801,addtim
1802,acronite
1803,akukold
1804,apxaban
1805,accept-xl
1806,aztre
1807,actlin
1808,argitrust
1809,almag
1810,axtum
1811,alcysta
1812,ambrotus
1813,anxicalm
1814,allyzole
1815,alicon
1816,azizoom
1817,anocream
1818,anadecon
1819,azimol
1820,apolar
1821,aedi-glim
1822,aropax
1823,arotex
1824,acelera-p
1825,acilex-p
1826,acnac-mr
1827,amazil
1828,autoclave
1829,almazine
1830,anacort
1831,acitak
1832,az
1833,ancef
1834,aply
1835,amp
1836,anglopar
1837,alscab
1838,aprovel
1839,acyclopure
1840,aclotol
1841,aroxime
1842,absopan
1843,abwal
1844,adbpo
1845,azirab-dsr
1846,adrex
1847,alcoxib
1848,acno(intas)
1849,amoxilin
1850,ambtic
1851,azomarc
1852,ariderm
1853,anxicure
1854,azitheo
1855,alvocet
1856,arasid
1857,alpanol
1858,acarboz
1859,almax
1860,aerocast
1861,alfex
